CustomerID,FirstName,LastName,DateOfBirth,AddressID,CustomerTypeID,Street,City,Country,CustomerType,AccountID,AccountTypeID,AccountStatusID,Balance,OpeningDate,AccountType,AccountStatus,LoanStatus,OpeningYear,age,AccountAge
10832,Nyla,Aguirre,1974-02-07 00:00:00.000000,881,1,Columbia Square,Aurora,United States,Individual,200833.0,2.0,1.0,94714.26,2021-05-25 00:00:00.000000,Savings,Active,Active,2021.0,52.0,5
10832,Nyla,Aguirre,1974-02-07 00:00:00.000000,881,1,Columbia Square,Aurora,United States,Individual,200904.0,4.0,1.0,84891.94,2021-12-12 00:00:00.000000,Business,Active,Active,2021.0,52.0,5
10983,,Battle,1963-02-01 00:00:00.000000,958,2,Coventry,Saco,United States,Small Business,,,,,,,,,,63.0,
10837,Angelena,Harrington,1964-03-25 00:00:00.000000,86,3,Wilson,Carlsbad,United States,Large Enterprise,,,,,,,,,,62.0,
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1,Koret,Grapevine,United States,Individual,200191.0,2.0,1.0,64668.96,2021-04-07 00:00:00.000000,Savings,Active,Active,2021.0,60.0,5
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1,Koret,Grapevine,United States,Individual,200882.0,3.0,1.0,87535.78,2021-01-06 00:00:00.000000,Payroll,Active,Active,2021.0,60.0,6
10107,Remona,Glass,1965-09-16 00:00:00.000000,595,1,Koret,Grapevine,United States,Individual,200653.0,5.0,2.0,96342.99,2018-12-10 00:00:00.000000,Youth,Inactive,Inactive,2018.0,60.0,8
10553,King,Becker,1966-02-20 00:00:00.000000,969,3,Fernwood,Opelousas,United States,Large Enterprise,,,,,,,,,,60.0,
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3,Nellie,Garner,United States,Large Enterprise,201159.0,3.0,1.0,61114.59,2020-06-04 00:00:00.000000,Payroll,Active,Active,2020.0,29.0,6
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3,Nellie,Garner,United States,Large Enterprise,200253.0,5.0,2.0,80131.35,2019-06-28 00:00:00.000000,Youth,Inactive,Inactive,2019.0,29.0,7
10867,Mathew,Kinney,1997-06-26 00:00:00.000000,866,3,Nellie,Garner,United States,Large Enterprise,200764.0,1.0,1.0,55666.22,2019-09-13 00:00:00.000000,Checking,Active,Active,2019.0,29.0,7
10861,Roderick,Mckee,1980-02-04 00:00:00.000000,604,3,Winter,Westmont,United States,Large Enterprise,200032.0,1.0,1.0,7264.93,2018-11-21 00:00:00.000000,Checking,Active,Active,2018.0,46.0,8
10964,Jewell,Flowers,1978-05-31 00:00:00.000000,700,3,Newcomb,Oak Lawn,United States,Large Enterprise,201122.0,2.0,1.0,10718.14,2020-01-04 00:00:00.000000,Savings,Active,Active,2020.0,48.0,7
10578,Shizuko,Boyer,2000-08-23 00:00:00.000000,635,3,Torrens,,United States,Large Enterprise,200264.0,2.0,1.0,83217.0,2018-09-03 00:00:00.000000,Savings,Active,Active,2018.0,25.0,8
